Product Name,Price,Rating
Fashion Turkey Style Khaki Trousers,"KSh 1,495 - KSh 1,595",None
6pcs 9’ Melamine Plate P-20330 （Random Printing）,KSh 599,None
50 Meters Fiber Glass Measuring Tape,KSh 700,None
50 Meters Fiber Glass Measuring Tape,KSh 700,None
Advance Memory Card – 8GB Micro SD  Plus Adapter,KSh 498,None
Plastic Chicken Drinkers For Poultry,KSh 300 - KSh 950,None
Wireless Keyboard/Remote Keypad With MouseTouchpad,"KSh 1,200",None
Fashion 3PCs Irresistible Sexy X-Lace Silk Thong Panty,KSh 699,None
Fashion 4 PCS Pure Cotton Panties/Ladies Underwear,"KSh 971 - KSh 1,131",None
Fk Fridge/Freezer Guard And Surge Protector-white,KSh 645,None
AILYONS 2.2L Electric Water Kettle Plus 2 Free Mugs,"KSh 1,399",None
4 Layer Rotate Jewellery Box Jewelry Organizer Earrings Ring Storage Box,KSh 759,None
Fashion Stylish Maasai Leather Ladies Sandals,"KSh 949 - KSh 1,249",None
Fashion 3PCs Cutest Comfy Pure Cotton Boys Boxers,KSh 599 - KSh 749,None
Espresso  Coffee Machine,"KSh 34,000",None
Biowang Biaowang Great Quality Laptop Shoulder Bag,"KSh 1,795",None
Outdoor Binoculars - Small HD Infrared Low Light Night Vision Binoculars -30x60,"KSh 1,520",None
Fashion Fedora Wide Brim Panama Fedora,KSh 699 - KSh 799,None
Fashion Retro Classic Square Eyewear Metal Luxury Sunglasses,KSh 559,None
Defacto Woman Traditional Regular Fit Round Collar Woven Short Sleeve Blouse - White,KSh 845,None
USB chargeable Portable Mini fan 1pc,KSh 799,None
DELL LAPTOP CHARGER ADAPTER- 19.5V 4.62A - BIG PIN + Free Power Cable,"KSh 1,083",None
Fashion Women's Fashion Shiny Rhinestone Waterdrop Pendant Long Chain Sweater Necklace-Silver,KSh 100,None
"DELL Refurbished 3189 X360 4GB 128GB SSD Celeron 2-in-1 Laptop 11.6"" Touchscreen + Bag","KSh 17,000",None
MK Fridge Guard For Hisense Fridge + Free 4 Way Power King Extension & I12 Earpods,"KSh 1,440",None
"1kg Reusable Ziplock Fridge Bag's- 24pcs,",KSh 599,None
Fashion Beautiful Girls Back To School Shoes Leather With Buckle,"KSh 1,020 - KSh 1,200",None
Fashion 4 PCS Pure Cotton Panties/Ladies Underwear,KSh 955,None
USB Rechargeable LED Remote Control Solar Portable Night Market Lamp Outdoor Home,KSh 590,None
Fashion Men's Steel Strap 3 Bracelet Tag Set Fashion Casual Quartz Wrist Watch,"KSh 1,300",None
Fake Rose Flowers Artificial Floral Plant Wedding-White,KSh 256,None
Fashion 2Pcs Natural Stone Beads Elastic Couple Charm Bracelet-,KSh 383,None
Fashion Pack Of 3 Men's Printed T-shirts,"KSh 1,389",None
Fashion Ladies' Vulcanized  Casual Breathable Wedges Sneakers,"KSh 2,511 - KSh 3,018",None
Rechargeable Mosquito Killer Racket Bat,KSh 598,None
Fashion 3PACK Soft Cotton Men's Printed Brief Boxers,KSh 900,None
Fashion Love Heart Pendant Chain Necklace Women Jewelry Gift Cocktail Party-Silver,KSh 65,None
Fashion Elegant Ladies Necklace Set-Rose Gold,KSh 409,None
Charging Cable For All Android  Phones And Tablets,KSh 20,None
Wireless BT5.1 Neckband Headsets Earphones Support TF Card,KSh 620,None
Magic Expandable Hose Pipe With Spray Gun,"KSh 1,450",None
Defacto Woman Traditional Regular Fit Crew Neck Knitted Short Sleeve T-Shirt - Ecru,KSh 833,None
Chronos Women Rhinestone Watch Silver Bracelet Quartzwatch,"KSh 1,141",None
Genetic Phone  Ring  Holder - Black,KSh 180,None
Fashion Jeans Comfortable Slim Fit Casual & Formal Men's - Black,"KSh 1,699",None
12pcs Table Spoons & 12 Pcs Of Forks - Silver,KSh 542,None
Luggage 50Kg Digital Weighing Scale,KSh 515,None
Fashion Casual Sneakers Mesh Men's Shoes - Grey,"KSh 1,669",None
46Pcs Tool Set Car Tool Kit Ratchet Wrench Combination,"KSh 1,399",None
Fashion Soft Khaki Trouser Stretch Slim Fit Casual,"KSh 1,028 - KSh 1,039",None
"MK MKFridge Guard+Digital TV Aerial Antenna +Free 4 Way Power Extension,Hdmi Cable","KSh 1,689",None
Flex Tape Strong Rubberized Waterproof Repair Tape,KSh 580,None
Fashion Men's Cargo Pants-beige,"KSh 1,349 - KSh 1,499",None
Fashion Super Hot Back Lace Top Quality Hip Panties 3pcs,"KSh 1,050",None
Fashion Mens Vintage Graffiti Shirts Short Sleeve Casual T-Shirts,KSh 880,None
Ready Made Window Door Sheers 1Piece White Rod Pocket,"KSh 899 - KSh 2,099",None
Fashion Wood Buddha Buddhist Prayer Beads Bracelet Copper Coin-,KSh 95,None
Plating Magsafe Case For IPhone 11 Wireless Charging Magnetic Transparent Case With Lens Protection Cover,KSh 959,None
Delta Industrial Steel Toe Gumboot,"KSh 2,700",None
Fashion Anti Fog Adjustable Unisex Adults &Kids Swimming Goggles,KSh 480,None
 Kids Camouflage Sports Electronic Digital Watch With Alarm,KSh 900,None
Fashion Navy Blue Soft Khaki Trouser Stretch Slim Fit Casual+FREE MEN'S BELT,"KSh 1,500",None
Deli Glassware 6 Pieces Classic High Quality Water/Cocktail Glasses,"KSh 1,120",None
Defacto Woman Coool Fitted Knitted Short Sleeve T-Shirt - White,KSh 526,None
6x6 White Plain Bedsheets Set 4 Pcs (2 Bedsheets And 2 Pillowcases),"KSh 1,998",None
Foldable Automatic Installation Yurt Mosquito Net.,"KSh 2,100",None
Fashion Women Normal Waist Camouflaged Jeans,"KSh 1,300 - KSh 1,400",None
